LAD_name,2021_super_output_area_lower_layer,LSOA21CD,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,All_usual
Bristol,Bristol 045B,E01014580,628,462,276,158,49,"1,573"
Bristol,Bristol 049E,E01014706,492,459,248,128,37,"1,364"
Bristol,Bristol 002D,E01014691,754,680,370,147,55,"2,006"
Bristol,Bristol 051B,E01014595,554,442,255,104,37,"1,392"
Bristol,Bristol 051D,E01014597,553,445,259,103,32,"1,392"
Bristol,Bristol 045C,E01014581,682,495,285,139,36,"1,637"
Bristol,Bristol 003C,E01014638,731,579,312,126,62,"1,810"
Bristol,Bristol 001E,E01014605,696,648,314,147,30,"1,835"
Bristol,Bristol 043D,E01014536,640,539,247,143,40,"1,609"
Bristol,Bristol 053E,E01032514,889,681,351,158,58,"2,137"
Bristol,Bristol 047D,E01014610,677,477,244,129,39,"1,566"
Bristol,Bristol 053B,E01014726,700,577,286,122,39,"1,724"
Bristol,Bristol 051C,E01014596,678,531,276,112,31,"1,628"
Bristol,Bristol 008A,E01014492,672,576,288,98,36,"1,670"
Bristol,Bristol 050A,E01014515,646,512,258,93,39,"1,548"
Bristol,Bristol 013B,E01014589,720,503,247,122,42,"1,634"
Bristol,Bristol 012C,E01014586,622,542,270,91,28,"1,553"
Bristol,Bristol 053C,E01014727,661,514,265,89,38,"1,567"
Bristol,Bristol 045E,E01014584,673,470,239,98,39,"1,519"
Bristol,Bristol 045D,E01014582,603,455,226,86,35,"1,405"
Bristol,Bristol 048D,E01014600,643,489,246,91,32,"1,501"
Bristol,Bristol 049B,E01014703,630,499,238,91,38,"1,496"
Bristol,Bristol 002B,E01014689,684,561,248,120,36,"1,649"
Bristol,Bristol 050B,E01014516,560,558,237,94,27,"1,476"
Bristol,Bristol 051A,E01014593,701,483,238,99,35,"1,556"
Bristol,Bristol 008F,E01014499,730,564,273,109,20,"1,696"
Bristol,Bristol 007C,E01014643,658,462,220,98,28,"1,466"
Bristol,Bristol 035B,E01014529,654,486,234,81,31,"1,486"
Bristol,Bristol 039F,E01033361,694,462,219,83,42,"1,500"
Bristol,Bristol 014B,E01014663,717,501,222,114,25,"1,579"
Bristol,Bristol 044D,E01014647,806,588,289,91,32,"1,806"
Bristol,Bristol 048A,E01014594,821,509,269,93,28,"1,720"
Bristol,Bristol 047C,E01014609,806,627,278,88,52,"1,851"
Bristol,Bristol 008B,E01014493,710,527,249,88,23,"1,597"
Bristol,Bristol 044C,E01014585,914,635,284,124,42,"1,999"
Bristol,Bristol 018E,E01032518,933,694,305,119,48,"2,099"
Bristol,Bristol 028B,E01014683,868,590,286,108,28,"1,880"
Bristol,Bristol 012D,E01014587,800,561,246,108,34,"1,749"
Bristol,Bristol 042B,E01014646,751,624,263,93,35,"1,766"
Bristol,Bristol 050C,E01014517,624,444,206,81,16,"1,371"
Bristol,Bristol 053F,E01032515,828,713,284,128,25,"1,978"
Bristol,Bristol 041A,E01014501,952,710,305,125,41,"2,133"
Bristol,Bristol 003D,E01014639,660,578,237,84,26,"1,585"
Bristol,Bristol 005A,E01014630,988,759,314,136,37,"2,234"
Bristol,Bristol 002G,E01014694,691,656,234,98,40,"1,719"
Bristol,Bristol 004A,E01014631,555,409,170,76,19,"1,229"
Bristol,Bristol 027D,E01014676,698,541,231,78,31,"1,579"
Bristol,Bristol 014A,E01014660,"1,034",710,289,136,53,"2,222"
Bristol,Bristol 003E,E01014640,773,544,256,73,26,"1,672"
Bristol,Bristol 042A,E01014645,694,598,239,84,24,"1,639"
Bristol,Bristol 029A,E01014565,832,557,261,87,25,"1,762"
Bristol,Bristol 013A,E01014588,"1,090",769,349,116,26,"2,350"
Bristol,Bristol 006C,E01014720,829,466,213,88,40,"1,636"
Bristol,Bristol 046B,E01014519,651,452,204,68,17,"1,392"
Bristol,Bristol 052B,E01014612,658,531,221,75,15,"1,500"
Bristol,Bristol 047B,E01014608,812,622,237,97,41,"1,809"
Bristol,Bristol 001B,E01014602,904,658,281,91,35,"1,969"
Bristol,Bristol 044E,E01014650,772,559,247,83,16,"1,677"
Bristol,Bristol 028C,E01014685,794,559,221,100,29,"1,703"
Bristol,Bristol 002A,E01014688,874,628,284,77,27,"1,890"
Bristol,Bristol 038A,E01014523,746,582,237,75,31,"1,671"
Bristol,Bristol 014C,E01014664,772,596,242,74,37,"1,721"
Bristol,Bristol 055B,E01014653,"1,403",803,388,151,29,"2,774"
Bristol,Bristol 038D,E01014526,720,558,221,80,27,"1,606"
Bristol,Bristol 018D,E01014629,702,557,215,87,21,"1,582"
Bristol,Bristol 049D,E01014705,603,483,199,61,18,"1,364"
Bristol,Bristol 044B,E01014583,806,619,231,107,26,"1,789"
Bristol,Bristol 049F,E01014707,652,642,228,77,25,"1,624"
Bristol,Bristol 005D,E01014661,825,587,243,87,29,"1,771"
Bristol,Bristol 050D,E01014522,853,642,228,117,29,"1,869"
Bristol,Bristol 057D,E01014574,"1,119",736,325,97,41,"2,318"
Bristol,Bristol 004D,E01014636,716,535,198,88,26,"1,563"
Bristol,Bristol 003A,E01014497,807,585,238,85,23,"1,738"
Bristol,Bristol 035F,E01014537,845,621,260,81,19,"1,826"
Bristol,Bristol 001A,E01014601,904,592,233,90,41,"1,860"
Bristol,Bristol 007D,E01014644,799,570,240,71,22,"1,702"
Bristol,Bristol 056D,E01033369,731,442,188,77,20,"1,458"
Bristol,Bristol 040D,E01014736,"1,076",701,285,111,33,"2,206"
Bristol,Bristol 008D,E01014495,837,582,222,89,31,"1,761"
Bristol,Bristol 013D,E01014591,889,678,299,64,14,"1,944"
Bristol,Bristol 002F,E01014693,628,500,192,60,19,"1,399"
Bristol,Bristol 003B,E01014498,769,603,235,73,21,"1,701"
Bristol,Bristol 054E,E01033370,693,399,165,76,20,"1,353"
Bristol,Bristol 002C,E01014690,"1,094",728,287,114,34,"2,257"
Bristol,Bristol 028E,E01014687,707,580,205,81,21,"1,594"
Bristol,Bristol 018A,E01014624,820,589,229,78,29,"1,745"
Bristol,Bristol 036A,E01014695,"1,037",647,258,111,31,"2,084"
Bristol,Bristol 049C,E01014704,927,574,211,101,40,"1,853"
Bristol,Bristol 009C,E01014717,829,540,221,82,17,"1,689"
Bristol,Bristol 039B,E01014502,"1,008",664,270,89,31,"2,062"
Bristol,Bristol 038E,E01014527,654,462,178,68,12,"1,374"
Bristol,Bristol 002E,E01014692,845,575,232,72,24,"1,748"
Bristol,Bristol 046D,E01014521,668,465,186,65,10,"1,394"
Bristol,Bristol 049G,E01014708,877,667,238,80,37,"1,899"
Bristol,Bristol 028D,E01014686,957,584,245,85,23,"1,894"
Bristol,Bristol 045A,E01014579,746,527,211,63,16,"1,563"
Bristol,Bristol 021B,E01014623,871,583,249,68,14,"1,785"
Bristol,Bristol 040A,E01014729,868,631,230,92,19,"1,840"
Bristol,Bristol 005C,E01014659,"1,057",721,259,105,38,"2,180"
Bristol,Bristol 047E,E01014613,758,521,200,68,20,"1,567"
Bristol,Bristol 047F,E01014614,657,480,180,66,10,"1,393"
Bristol,Bristol 057A,E01014568,"1,278",840,318,123,33,"2,592"
Bristol,Bristol 001H,E01032517,860,642,237,70,29,"1,838"
Bristol,Bristol 052D,E01014723,625,502,207,32,13,"1,379"
Bristol,Bristol 039A,E01014500,853,668,224,94,20,"1,859"
Bristol,Bristol 056C,E01033356,919,493,187,100,26,"1,725"
Bristol,Bristol 028A,E01014682,809,606,226,74,12,"1,727"
Bristol,Bristol 019C,E01014575,742,580,205,70,16,"1,613"
Bristol,Bristol 027B,E01014674,830,570,215,72,20,"1,707"
Bristol,Bristol 056A,E01014654,"1,247",834,282,139,33,"2,535"
Bristol,Bristol 029D,E01014681,"1,221",851,313,101,37,"2,523"
Bristol,Bristol 055C,E01014655,"1,273",853,307,112,41,"2,586"
Bristol,Bristol 006D,E01014721,877,501,177,82,39,"1,676"
Bristol,Bristol 033C,E01014679,717,592,219,47,17,"1,592"
Bristol,Bristol 052A,E01014611,641,501,169,59,18,"1,388"
Bristol,Bristol 029B,E01014566,803,597,214,72,13,"1,699"
Bristol,Bristol 001C,E01014603,"1,278",876,313,108,34,"2,609"
Bristol,Bristol 044A,E01014578,924,614,201,95,28,"1,862"
Bristol,Bristol 038B,E01014524,760,579,198,57,24,"1,618"
Bristol,Bristol 015D,E01014712,675,383,149,51,19,"1,277"
Bristol,Bristol 046A,E01014518,868,607,233,55,17,"1,780"
Bristol,Bristol 036D,E01014699,852,516,188,77,16,"1,649"
Bristol,Bristol 018F,E01032519,624,429,157,43,14,"1,267"
Bristol,Bristol 046C,E01014520,785,588,209,54,15,"1,651"
Bristol,Bristol 012A,E01014571,834,601,198,71,21,"1,725"
Bristol,Bristol 001G,E01032516,947,706,242,75,16,"1,986"
Bristol,Bristol 029E,E01014684,973,642,211,60,54,"1,940"
Bristol,Bristol 007A,E01014641,787,483,178,63,14,"1,525"
Bristol,Bristol 007B,E01014642,790,480,185,53,17,"1,525"
Bristol,Bristol 035C,E01014530,699,537,186,45,16,"1,483"
Bristol,Bristol 052E,E01014725,715,504,172,53,18,"1,462"
Bristol,Bristol 013E,E01014592,844,591,214,52,20,"1,721"
Bristol,Bristol 033D,E01014680,653,432,168,37,11,"1,301"
Bristol,Bristol 021C,E01014626,"1,365",898,295,113,42,"2,713"
Bristol,Bristol 009D,E01014718,790,482,185,62,5,"1,524"
Bristol,Bristol 052C,E01014722,745,549,179,59,17,"1,549"
Bristol,Bristol 013C,E01014590,"1,107",866,290,75,23,"2,361"
Bristol,Bristol 037A,E01014730,832,563,196,61,14,"1,666"
Bristol,Bristol 058C,E01014486,"1,342",910,296,113,28,"2,689"
Bristol,Bristol 004B,E01014632,"1,148",699,245,85,26,"2,203"
Bristol,Bristol 019D,E01014576,"1,138",747,260,85,18,"2,248"
Bristol,Bristol 056B,E01014658,"1,481",626,263,101,40,"2,511"
Bristol,Bristol 027A,E01014673,867,699,216,70,14,"1,866"
Bristol,Bristol 029C,E01014567,953,672,236,64,11,"1,936"
Bristol,Bristol 047A,E01014607,833,575,208,44,16,"1,676"
Bristol,Bristol 059C,E01033348,613,386,138,42,8,"1,187"
Bristol,Bristol 012B,E01014577,832,555,186,62,12,"1,647"
Bristol,Bristol 025F,E01033367,690,469,137,71,9,"1,376"
Bristol,Bristol 027C,E01014675,897,613,195,68,16,"1,789"
Bristol,Bristol 021D,E01014627,"1,058",796,253,72,17,"2,196"
Bristol,Bristol 038C,E01014525,847,552,194,57,7,"1,657"
Bristol,Bristol 033B,E01014678,839,580,196,56,8,"1,679"
Bristol,Bristol 021A,E01014622,854,628,188,66,16,"1,752"
Bristol,Bristol 008C,E01014494,772,562,192,34,17,"1,577"
Bristol,Bristol 059B,E01033366,884,447,171,51,19,"1,572"
Bristol,Bristol 043B,E01014534,849,569,193,51,12,"1,674"
Bristol,Bristol 039H,E01033364,938,568,182,71,18,"1,777"
Bristol,Bristol 039G,E01033362,687,414,138,39,20,"1,298"
Bristol,Bristol 019A,E01014572,"1,031",705,238,54,18,"2,046"
Bristol,Bristol 017E,E01014672,"1,149",646,196,111,13,"2,115"
Bristol,Bristol 057B,E01014569,"1,137",788,244,74,22,"2,265"
Bristol,Bristol 054D,E01033358,"1,387",791,277,73,33,"2,561"
Bristol,Bristol 059A,E01014489,"1,311",879,264,108,13,"2,575"
Bristol,Bristol 034B,E01014549,639,353,134,27,13,"1,166"
Bristol,Bristol 049A,E01014702,739,523,175,33,13,"1,483"
Bristol,Bristol 019B,E01014573,"1,005",719,221,53,26,"2,024"
Bristol,Bristol 035A,E01014528,775,580,166,53,16,"1,590"
Bristol,Bristol 055A,E01014564,"1,036",603,197,60,24,"1,920"
Bristol,Bristol 039E,E01033359,883,554,180,51,15,"1,683"
Bristol,Bristol 048B,E01014598,"1,071",811,245,57,16,"2,200"
Bristol,Bristol 010D,E01014662,920,555,168,65,14,"1,722"
Bristol,Bristol 035E,E01014532,748,516,154,45,12,"1,475"
Bristol,Bristol 058A,E01014485,"1,016",670,188,68,24,"1,966"
Bristol,Bristol 043C,E01014535,"1,036",685,209,59,17,"2,006"
Bristol,Bristol 048C,E01014599,688,439,143,35,8,"1,313"
Bristol,Bristol 058B,E01014488,"1,095",650,222,57,8,"2,032"
Bristol,Bristol 033A,E01014677,758,587,172,41,7,"1,565"
Bristol,Bristol 037B,E01014731,885,497,166,51,9,"1,608"
